time,host,ip,id,t,dt,gap,state,st,hid,pos,ct,ctpos,err,errp,trim,lag,ls,wt,sk,ahead,amin,rs,nb,buf,bf,rate,ratio,drift,w,dw,off,ort,ns,ep,tcage,rtt,step,tun,v
2026-08-12T16:18:38.000+00:00,simukka-atom,10.0.1.237,d0340e,0.1,,,playing,idle,,15.00,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2
2026-08-12T16:18:39.000+00:00,simukka-atom,10.0.1.237,d0340e,1.1,1.0,0,playing,pause,0,16.04,0.00,-16040,0,0,75,0,0,0,0,94.0,94.0,4,1,0,0,0,0,0,0,0,975853900.5,10,8,6,2801,42,,"sl:500,rl:2000",2
2026-08-12T16:18:40.000+00:00,simukka-atom,10.0.1.237,d0340e,2.1,1.0,0,playing,pause,0,17.07,0.00,-17070,0,0,75,0,0,0,0,94.0,94.0,4,1,0,0,0,0,0,0,0,975853900.5,10,8,6,3823,21,,"sl:500,rl:2000",2
2026-08-12T16:18:41.000+00:00,simukka-atom,10.0.1.237,d0340e,3.2,1.1,0,playing,play,0,18.10,17.80,-300,-314,-17530,75,252,1,0,1,76.2,76.3,4,1,0,0,2000,0,-75,1,2000,975853900.5,10,8,6,1019,31,,"sl:500,rl:2000",2
2026-08-12T16:18:42.000+00:00,simukka-atom,10.0.1.237,d0340e,4.2,1.0,0,playing,play,0,19.13,18.83,-300,-353,-354,75,41,1,0,0,75.2,75.3,4,1,0,0,2000,0,-370,0,0,975853900.5,10,8,6,2052,31,,"sl:500,rl:2000",2
2026-08-12T16:18:43.000+00:00,simukka-atom,10.0.1.237,d0340e,5.2,1.0,0,playing,play,0,20.16,19.86,-300,-351,-353,75,0,0,0,0,74.2,74.3,4,1,0,0,2000,0,-806,0,0,975853900.5,10,8,6,3078,25,,"sl:500,rl:2000",2
2026-08-12T16:18:44.000+00:00,simukka-atom,10.0.1.237,d0340e,6.3,1.1,0,playing,play,0,21.18,20.89,-290,-349,-350,75,0,0,1,0,73.1,73.3,4,1,0,0,2000,0,-1333,0,0,975853900.5,10,9,6,4108,28,,"sl:500,rl:2000",2
2026-08-12T16:18:45.000+00:00,simukka-atom,10.0.1.237,d0340e,7.3,1.0,0,playing,play,0,22.21,21.92,-290,-342,-344,75,0,0,0,0,72.1,72.3,4,1,0,0,2000,0,-1916,0,0,975853900.5,10,9,6,2045,26,,"sl:500,rl:2000",2
2026-08-12T16:18:46.000+00:00,simukka-atom,10.0.1.237,d0340e,8.3,1.0,0,playing,play,0,23.24,22.95,-290,-340,-342,75,0,0,0,0,71.1,71.3,4,1,0,0,2000,0,-2000,0,0,975853900.5,10,9,6,3075,27,,"sl:500,rl:2000",2
2026-08-12T16:18:47.000+00:00,simukka-atom,10.0.1.237,d0340e,9.3,1.0,0,playing,play,0,24.28,23.99,-290,-339,-341,75,1,0,0,0,155.9,71.0,4,1,0,0,2000,0,-2000,0,0,975853900.5,10,9,6,4107,30,,"sl:500,rl:2000",2
2026-08-12T16:18:48.000+00:00,simukka-atom,10.0.1.237,d0340e,10.4,1.1,0,playing,play,0,25.32,25.03,-290,-336,-339,75,0,0,1,0,154.9,155.1,4,1,0,0,2000,0,-2000,0,0,975853900.5,10,9,6,2061,38,,"sl:500,rl:2000",2
2026-08-12T16:18:49.000+00:00,simukka-atom,10.0.1.237,d0340e,11.4,1.0,0,playing,play,0,26.34,26.07,-270,-334,-335,75,0,0,0,0,153.8,153.8,4,1,0,0,2000,0,-2000,0,0,975853900.5,10,10,6,3095,32,,"sl:500,rl:2000",2
2026-08-12T16:18:50.000+00:00,simukka-atom,10.0.1.237,d0340e,12.4,1.0,0,playing,play,0,27.37,27.10,-270,-331,-333,75,0,0,0,0,152.8,152.8,4,1,0,0,2000,0,-2000,0,0,975853900.5,10,10,6,4123,27,,"sl:500,rl:2000",2
2026-08-12T16:18:52.000+00:00,simukka-atom,10.0.1.237,d0340e,13.5,1.1,0,playing,play,0,28.41,28.13,-280,-324,-326,75,1,0,0,0,151.8,151.8,4,1,0,0,2000,0,-2000,0,0,975853900.5,10,10,6,1018,28,,"sl:500,rl:2000",2
2026-08-12T16:18:53.000+00:00,simukka-atom,10.0.1.237,d0340e,14.5,1.0,0,playing,play,0,29.46,29.17,-290,-332,-334,75,1,0,0,0,150.7,150.8,4,1,0,0,2000,0,-2000,0,0,975853900.5,10,10,6,1019,32,,"sl:500,rl:2000",2
2026-08-12T16:18:54.000+00:00,simukka-atom,10.0.1.237,d0340e,15.5,1.0,0,playing,play,0,30.48,30.20,-280,-341,-342,75,0,0,0,0,149.7,149.8,4,1,0,0,2000,0,-2000,0,0,975853900.5,10,10,6,1022,33,,"sl:500,rl:2000",2
